fiyat,yil,marka,seri,model,kilometre,vites_tipi,yakit_tipi,cekis,yakit_deposu,motor_hacmi,motor_gucu,boyali_parca,degisen_parca
125,182000,2006,Peugeot,206 1.4 Fever,206,204317,Düz,Dizel,Önden Çekiş,50.0,1.36,75.0,8,1
126,230000,2011,Fiat,Punto EVO 1.3 Mjet My Life Start-Stop,Punto,217393,Düz,Dizel,Önden Çekiş,45.0,1.248,75.0,4,0
127,450000,2016,Renault,Kangoo Multix 1.5 dCi Touch,Kangoo,131059,Düz,Dizel,Önden Çekiş,60.0,1.461,90.0,5,0
128,272000,2015,Fiat,1.3 MultiJet Safeline 90 Ps Combi,Doblo,223549,Düz,Dizel,Önden Çekiş,60.0,1.248,89.0,3,2
129,475000,2019,Fiat,1.3 MultiJet Easy 95 Ps Sedan,Egea,104756,Düz,Dizel,Önden Çekiş,45.0,1.248,94.0,0,0
130,475000,2017,Renault,1.5 DCI Joy 75 Ps Hatchback,Clio,111837,Düz,Dizel,Önden Çekiş,45.0,1.461,74.0,0,0
131,460000,2022,Fiat,1.3 MultiJet Premio 95 Ps Combi,Fiorino,18201,Düz,Dizel,,45.0,1.248,94.0,0,0
132,360000,2015,Fiat,1.3 MultiJet Premio Plus 90 Ps Combi,Doblo,161736,Düz,Dizel,Önden Çekiş,60.0,1.248,89.0,0,0
133,355000,2015,Fiat,1.3 MultiJet Premio 75 Ps Combi,Fiorino,95850,Düz,Dizel,,45.0,1.248,74.0,0,0
134,210900,2007,Citroen,C3 1.4 HDi X Furio,C3,184740,Düz,Dizel,Önden Çekiş,47.0,1.398,70.0,3,2
135,397750,2017,Fiat,1.4 Fire Pop 77 Ps Combi,Fiorino,61943,Düz,Benzinli,,45.0,1.368,76.0,3,2
136,280000,2009,Chevrolet,1.2 LS 84 Ps Sedan,Aveo,130000,Düz,Benzinli/LPG,Önden Çekiş,45.0,1.206,84.0,0,0
137,452900,2021,Fiat,1.4 Fire Easy 95 Ps Sedan,Egea,7338,Düz,Benzinli,Önden Çekiş,45.0,1.368,94.0,0,0
138,419900,2020,Fiat,1.4 Fire Easy 95 Ps Sedan,Egea,21914,Düz,Benzinli,Önden Çekiş,45.0,1.368,94.0,0,0
139,550000,2016,Volkswagen,2.0 TDI SCR BMT Comfortline 102 Ps Combi,Caddy,83786,Düz,Dizel,Önden Çekiş,60.0,1.968,101.0,0,0
140,450000,2022,Fiat,1.4 Eko Premio 77 Ps Combi,Fiorino,16000,Düz,Benzinli/LPG,,45.0,1.368,76.0,0,0
141,400000,2017,Renault,Kangoo Multix 1.5 dCi Joy,Kangoo,193051,Düz,Dizel,Önden Çekiş,60.0,1.461,90.0,5,2
142,320000,2011,Citroen,C4 1.4 VTi Attraction,C4,131500,Düz,Benzinli,Önden Çekiş,60.0,1.397,95.0,5,0
143,510000,2021,Fiat,1.6 MultiJet Trekking 120 Ps Combi,Doblo,33696,Düz,Dizel,Önden Çekiş,60.0,1.598,118.0,2,0
144,485000,2020,Fiat,1.6 MultiJet 20.Yıl Ozel Seri 120 Ps Combi,Doblo,104531,Düz,Dizel,Önden Çekiş,60.0,1.598,118.0,0,0
145,290000,2000,Bmw,320Ci Otomatik 170 Ps Coupe,3 Serisi,295000,Düz,Benzinli/LPG,Arkadan İtiş,63.0,2.171,168.0,0,0
146,599900,2015,Fiat,1.4 T MultiAir Cross Plus TCT 140 Ps Crossover,500 X,79422,Düz,Benzinli,Önden Çekiş,48.0,1.368,138.0,1,0
147,229750,2004,Chevrolet,Lacetti 1.6 16V SX Otomatik,Lacetti,192000,Düz,Benzinli/LPG,Önden Çekiş,60.0,1.598,109.0,0,0
148,610000,2021,Peugeot,1.5 BlueHDI Allure EAT8 132 Ps Hatchback,208,29700,Otomatik,Dizel,Önden Çekiş,41.0,1.499,130.0,2,2
149,615000,2017,Peugeot,1.2 PureTech Active EAT6 132 Ps Hatchback,308,38767,Otomatik,Benzinli,Önden Çekiş,53.0,1.199,130.0,0,0
150,365000,2012,Skoda,Fabia 1.2 Optimal,Fabia,135812,Düz,Benzinli,Önden Çekiş,45.0,1.198,70.0,4,2
151,400000,2008,Toyota,Auris 1.4 D-4D Comfort,Auris,193000,Düz,Dizel,Önden Çekiş,55.0,1.364,90.0,2,0
152,575000,2021,Peugeot,1.5 BlueHDI Active EAT8 132 Ps Hatchback,208,53500,Otomatik,Dizel,Önden Çekiş,41.0,1.499,130.0,0,3
153,495000,2022,Fiat,1.4 Fire Street 95 Ps Cross,Egea,7635,Düz,Benzinli,,,1.368,94.0,0,0
154,329000,2022,Hyundai,1.4 MPI Jump 100 Ps Hatchback,i20,200267,Düz,Benzinli/LPG,Önden Çekiş,40.0,1.368,99.0,2,0
155,450000,2021,Fiat,1.4 Eko Safeline 77 Ps Combi,Fiorino,18632,Düz,Benzinli,,45.0,1.368,76.0,0,0
156,489900,2020,Fiat,1.4 16V Fire Mirror 95 Ps Hatchback,Egea,28603,Düz,Benzinli,Önden Çekiş,50.0,1.368,94.0,0,0
157,300000,2010,Hyundai,1.4 Expo Gold Plus 97 Ps Sedan,Accent Era,214815,Düz,Benzinli/LPG,Önden Çekiş,45.0,1.399,95.0,0,2
