,fiyat,yil,marka,seri,model,kilometre,vites_tipi,yakit_tipi,cekis,yakit_deposu,motor_hacmi,motor_gucu,boya_degisen,boyali_parca,degisen_parca
666,285000,2011.0,Renault,Fluence,1.5 dCi Extreme,338.0,Düz,Dizel,Önden Çekiş,60.0,1461.0,85.0,Tamamı orjinal,Tamamı orjinal,Tamamı orjinal
667,295000,2011.0,Fiat,Linea,1.4 Fire VIA,280.0,Düz,Benzin,Önden Çekiş,45.0,1368.0,77.0,,0,0
668,375000,2011.0,Hyundai,Elantra,1.6 D-CVVT Mode,160.0,Düz,LPG & Benzin,Önden Çekiş,48.0,1591.0,132.0,"1 değişen, 2 boyalı",2,1
669,348000,2011.0,Renault,Fluence,1.5 dCi Dynamique,190.0,Düz,Dizel,Önden Çekiş,60.0,1461.0,85.0,,0,0
670,550000,2016.0,Ford,Focus,1.5 TDCi Trend X,195.0,Yarı Otomatik,Dizel,Önden Çekiş,55.0,1499.0,120.0,Tamamı orjinal,Tamamı orjinal,Tamamı orjinal
671,233000,2006.0,Renault,Megane,1.5 dCi Authentique,244.0,Düz,Dizel,Önden Çekiş,60.0,1461.0,86.0,"1 değişen, 7 boyalı",7,1
672,175000,1999.0,Toyota,Avensis,2.0 Sol Extra,376.0,Otomatik,LPG & Benzin,Önden Çekiş,60.0,1998.0,128.0,12 boyalı,12,0
673,700000,2014.0,Volkswagen,VW CC,2.0 TDi 2.0 TDI,99.7,Yarı Otomatik,Dizel,Önden Çekiş,70.0,1968.0,177.0,,0,0
674,228500,2004.0,Skoda,Fabia,1.4 Special,240.0,Düz,LPG & Benzin,Önden Çekiş,45.0,1390.0,100.0,1 değişen,0,1
675,390000,2016.0,Kia,Rio,1.4 CRDi Comfort,121.0,Düz,Dizel,Önden Çekiş,43.0,1396.0,90.0,,0,0
676,117500,1993.0,Fiat,Tempra,1.6 SX A,120.0,Düz,LPG & Benzin,Önden Çekiş,,1581.0,90.0,,0,0
677,212000,2001.0,Renault,Clio,1.4 RXT,180.0,Otomatik,LPG & Benzin,Önden Çekiş,50.0,1390.0,98.0,,0,0
678,338000,2014.0,Ford,Fiesta,1.5 TDCi Trend X,199.0,Düz,Dizel,Önden Çekiş,42.0,1498.0,75.0,5 boyalı,5,0
679,77500,1993.0,Opel,Corsa,1.4 Swing,340.0,Düz,LPG & Benzin,Önden Çekiş,,1389.0,60.0,,0,0
680,260000,2012.0,Hyundai,i20,1.2 D-CVVT Sense,210.0,Düz,Benzin,Önden Çekiş,45.0,1248.0,85.0,"2 değişen, 1 boyalı",1,2
681,917500,2021.0,Honda,Civic,1.6 i-VTEC Eco Executive,25.0,Otomatik,LPG & Benzin,Önden Çekiş,46.0,1597.0,125.0,,0,0
682,400000,2012.0,Opel,Insignia,1.4 T Edition Elegance,150.0,Düz,Benzin,Önden Çekiş,70.0,1364.0,140.0,1 değişen,0,1
683,230000,2005.0,Opel,Corsa,1.4 Twinport Enjoy,212.088,Düz,Benzin,Önden Çekiş,44.0,1364.0,90.0,"1 değişen, 10 boyalı",10,1
684,345000,2017.0,Renault,Symbol,1.5 dCi Joy,177.0,Düz,Dizel,Önden Çekiş,50.0,1461.0,90.0,,0,0
685,420000,2016.0,Opel,Astra,1.6 Edition Plus,158.0,Düz,LPG & Benzin,Önden Çekiş,56.0,1598.0,115.0,,0,0
686,408000,2015.0,Hyundai,i20,1.4 CRDi Style,160.0,Düz,Dizel,Önden Çekiş,45.0,1396.0,90.0,2 boyalı,2,0
687,435000,2015.0,Opel,Astra,1.6 Edition,71.2,Düz,LPG & Benzin,Önden Çekiş,56.0,1598.0,115.0,1 boyalı,1,0
688,180000,1985.0,Mercedes - Benz,300,D,260.0,Otomatik,Dizel,,,,,,0,0
689,205000,2007.0,Dacia,Logan,1.4 Ambiance,189.0,Düz,LPG & Benzin,Önden Çekiş,50.0,1390.0,75.0,Tamamı boyalı,Tamamı,0
690,280000,2005.0,Volkswagen,Passat,1.6 Exclusive,284.0,Düz,LPG & Benzin,Önden Çekiş,62.0,1595.0,102.0,"2 değişen, 1 boyalı",1,2
691,300000,2010.0,Ford,Galaxy,2.0 TDCI Titanium,224.0,Yarı Otomatik,Dizel,Önden Çekiş,70.0,1997.0,140.0,1 boyalı,1,0
